Organization,Repository_Name,Language,Visibility,Repository_Size_KB,Stars,Forks,Open_Issues,Created_Date,Updated_Date,Default_Branch,Repository_URL
microsoft,HealthVault-Mobile-iOS-Library,Objective-C,public,798,46,21,2,2011-06-21T22:49:39Z,2025-11-25T19:29:42Z,master,https://github.com/microsoft/HealthVault-Mobile-iOS-Library
microsoft,BeanSpy,Java,public,226,25,18,5,2012-01-02T02:03:37Z,2025-08-13T11:09:28Z,master,https://github.com/microsoft/BeanSpy
microsoft,healthvault-ios-sdk,C,public,10007,27,15,2,2012-04-17T01:33:37Z,2026-06-12T09:43:00Z,microsoft/develop,https://github.com/microsoft/healthvault-ios-sdk
microsoft,WindowsAzureToolkitForEclipseWithJava,Java,public,82855,43,38,2,2012-08-28T18:33:11Z,2025-03-10T12:56:21Z,master,https://github.com/microsoft/WindowsAzureToolkitForEclipseWithJava
microsoft,php-sdk-binary-tools,M4,public,116066,266,82,2,2013-05-15T09:42:29Z,2026-05-25T14:09:49Z,master,https://github.com/microsoft/php-sdk-binary-tools
microsoft,LIS3.5,C,public,551,34,15,4,2013-07-15T22:56:07Z,2026-06-10T20:38:06Z,master,https://github.com/microsoft/LIS3.5
microsoft,plcrashreporter,Objective-C,public,23807,3061,562,0,2013-07-22T02:38:00Z,2026-08-01T05:01:24Z,master,https://github.com/microsoft/plcrashreporter
microsoft,filter-explorer,C#,public,53467,30,20,3,2013-07-24T13:36:42Z,2025-11-25T19:29:51Z,master,https://github.com/microsoft/filter-explorer
microsoft,filter-effects,C#,public,19687,35,20,4,2013-07-29T08:30:45Z,2025-11-25T19:19:37Z,master,https://github.com/microsoft/filter-effects
microsoft,real-time-filter-demo,C#,public,23481,34,24,1,2013-07-29T08:36:12Z,2025-03-10T12:56:22Z,master,https://github.com/microsoft/real-time-filter-demo
microsoft,photo-inspector,C#,public,22391,27,16,1,2013-07-29T08:47:31Z,2025-03-10T12:56:20Z,master,https://github.com/microsoft/photo-inspector
microsoft,camera-explorer,C#,public,10398,31,21,1,2013-07-29T08:51:40Z,2025-11-25T19:22:36Z,master,https://github.com/microsoft/camera-explorer
microsoft,map-explorer,C#,public,6341,29,19,0,2013-07-29T09:02:19Z,2025-11-25T19:30:51Z,master,https://github.com/microsoft/map-explorer
microsoft,music-explorer,C#,public,15066,30,19,1,2013-07-29T09:05:41Z,2025-11-25T19:28:00Z,master,https://github.com/microsoft/music-explorer
microsoft,here-launchers,C#,public,2224,27,20,1,2013-07-29T09:19:59Z,2025-11-25T19:20:48Z,master,https://github.com/microsoft/here-launchers
microsoft,azure-puppet,Ruby,public,833,22,23,17,2013-09-10T18:26:20Z,2025-11-25T19:19:35Z,master,https://github.com/microsoft/azure-puppet
microsoft,weekly-planner-wp,C#,public,3134,29,16,0,2013-09-18T05:33:21Z,2026-01-12T19:52:34Z,master,https://github.com/microsoft/weekly-planner-wp
microsoft,drumkitx,C++,public,8335,26,13,0,2013-09-18T05:34:17Z,2025-11-25T19:29:14Z,master,https://github.com/microsoft/drumkitx
microsoft,diner-wp,C#,public,9073,25,20,0,2013-09-18T05:34:41Z,2025-11-25T19:27:56Z,master,https://github.com/microsoft/diner-wp
microsoft,rss-reader-wp,C#,public,1826,39,21,0,2013-09-18T05:35:45Z,2025-11-10T08:35:47Z,master,https://github.com/microsoft/rss-reader-wp
microsoft,audio-recorder,C#,public,2662,53,24,3,2013-09-18T05:36:41Z,2026-04-05T10:21:52Z,master,https://github.com/microsoft/audio-recorder
microsoft,cocos2d-x,C++,public,916240,81,44,26,2013-09-19T00:22:15Z,2026-06-28T17:11:36Z,v3,https://github.com/microsoft/cocos2d-x
microsoft,dynamic-layout-sample,C#,public,254,21,15,0,2013-10-08T13:34:39Z,2025-11-25T19:19:14Z,master,https://github.com/microsoft/dynamic-layout-sample
microsoft,nfc-ndef-tag-reader,C#,public,932,33,19,0,2013-10-21T07:48:10Z,2025-03-10T12:56:36Z,master,https://github.com/microsoft/nfc-ndef-tag-reader
microsoft,nfc-talk,C#,public,1279,36,24,2,2013-10-21T08:24:18Z,2026-01-28T08:04:34Z,master,https://github.com/microsoft/nfc-talk
microsoft,car-trumps,C#,public,3594,16,14,0,2013-10-21T11:41:17Z,2025-11-25T19:27:42Z,master,https://github.com/microsoft/car-trumps
microsoft,drumkit-wp,C#,public,4134,27,17,0,2013-10-23T06:47:11Z,2025-11-25T19:20:50Z,master,https://github.com/microsoft/drumkit-wp
microsoft,bubble-level-wp,C#,public,2134,16,16,0,2013-10-24T13:22:49Z,2026-02-17T19:45:44Z,master,https://github.com/microsoft/bubble-level-wp
microsoft,phone-info,C#,public,16330,44,27,1,2013-10-24T13:28:14Z,2025-11-25T19:30:26Z,master,https://github.com/microsoft/phone-info
microsoft,launchapp-tag-maker,C#,public,451,19,11,0,2013-10-25T11:57:24Z,2025-11-25T19:28:40Z,master,https://github.com/microsoft/launchapp-tag-maker
microsoft,matchem-poker-wp,C#,public,12836,13,9,0,2013-10-25T12:03:20Z,2025-11-25T19:29:43Z,master,https://github.com/microsoft/matchem-poker-wp
microsoft,media-viewer,C#,public,810,22,12,1,2013-10-25T12:09:49Z,2025-11-25T19:28:24Z,master,https://github.com/microsoft/media-viewer
microsoft,moto-trial-racer-wp,C#,public,13136,31,24,0,2013-10-25T12:14:15Z,2025-11-25T19:30:42Z,master,https://github.com/microsoft/moto-trial-racer-wp
microsoft,native-filter-demo,C#,public,462,17,14,0,2013-10-25T12:27:50Z,2025-11-25T19:29:29Z,master,https://github.com/microsoft/native-filter-demo
microsoft,protractor,C#,public,601,27,21,0,2013-10-25T12:35:40Z,2026-02-15T15:19:59Z,master,https://github.com/microsoft/protractor
microsoft,solitaire-wp,C#,public,1143,50,24,1,2013-10-25T12:43:50Z,2025-10-08T15:37:00Z,master,https://github.com/microsoft/solitaire-wp
microsoft,space-blok-wp,C#,public,5883,26,17,0,2013-10-25T12:48:23Z,2025-06-22T04:55:27Z,master,https://github.com/microsoft/space-blok-wp
microsoft,sudokumaster-wp,C#,public,4726,28,18,0,2013-10-25T12:56:38Z,2026-04-11T18:53:40Z,master,https://github.com/microsoft/sudokumaster-wp
microsoft,surveillance-camera,C#,public,15705,24,21,0,2013-10-25T13:05:31Z,2026-03-05T09:42:28Z,master,https://github.com/microsoft/surveillance-camera
microsoft,maps-samples,C#,public,4265,40,39,0,2013-10-25T13:21:16Z,2025-11-25T19:29:14Z,master,https://github.com/microsoft/maps-samples
microsoft,rate-my-app,C#,public,6088,77,39,19,2013-11-08T08:43:24Z,2025-11-25T08:12:32Z,master,https://github.com/microsoft/rate-my-app
microsoft,chroma-key-demo,C#,public,9373,28,15,1,2013-11-26T13:36:57Z,2025-11-25T19:24:06Z,master,https://github.com/microsoft/chroma-key-demo
microsoft,azure-activedirectory-jwt-token-handler-for-dotnet,C#,public,1164,30,15,10,2013-11-26T17:32:17Z,2025-11-25T19:28:33Z,dev,https://github.com/microsoft/azure-activedirectory-jwt-token-handler-for-dotnet
microsoft,real-time-blend-demo,C#,public,13107,24,14,1,2013-12-09T12:50:37Z,2023-06-15T09:34:51Z,master,https://github.com/microsoft/real-time-blend-demo
microsoft,knife-azure,Ruby,public,742,7,9,1,2013-12-11T21:20:29Z,2026-06-28T17:10:41Z,master,https://github.com/microsoft/knife-azure
microsoft,angle,,public,46563,626,164,13,2013-12-19T13:58:48Z,2026-07-11T17:34:20Z,ms-master,https://github.com/microsoft/angle
microsoft,backupessentials,C,public,601,24,6,3,2014-01-02T19:57:36Z,2026-06-10T20:38:31Z,master,https://github.com/microsoft/backupessentials
microsoft,Tx,C#,public,64155,321,72,12,2014-01-07T08:08:51Z,2026-02-12T10:34:36Z,master,https://github.com/microsoft/Tx
