File_Name,Department,Extension,Size_KB,Created_Time,Modified_Time,Source
architecture_diagram.vsdx,Engineering,.vsdx,438.0,2026-07-31 14:26:33.622078,2026-07-31 14:26:33.623082,Windows Server
deployment_guide.docx,Engineering,.docx,391.0,2026-07-31 14:26:33.621076,2026-07-31 14:26:33.622078,Windows Server
project_specs.pdf,Engineering,.pdf,117.0,2026-07-31 14:26:33.617082,2026-07-31 14:26:33.618073,Windows Server
release_notes.pdf,Engineering,.pdf,466.0,2026-07-31 14:26:33.624084,2026-07-31 14:26:33.626081,Windows Server
source_code_backup.zip,Engineering,.zip,215.0,2026-07-31 14:26:33.619084,2026-07-31 14:26:33.620078,Windows Server
budget_2026.xlsx,Finance,.xlsx,488.0,2026-07-31 14:26:33.601082,2026-07-31 14:26:33.602082,Windows Server
expense_report.csv,Finance,.csv,374.0,2026-07-31 14:26:33.607075,2026-07-31 14:26:33.608076,Windows Server
invoices.pdf,Finance,.pdf,42.0,2026-07-31 14:26:33.603088,2026-07-31 14:26:33.604077,Windows Server
payroll_summary.xlsx,Finance,.xlsx,53.0,2026-07-31 14:26:33.606075,2026-07-31 14:26:33.607075,Windows Server
tax_report.xlsx,Finance,.xlsx,381.0,2026-07-31 14:26:33.604077,2026-07-31 14:26:33.605080,Windows Server
attendance.csv,HR,.csv,495.0,2026-07-31 14:26:33.594072,2026-07-31 14:26:33.595075,Windows Server
employee_master.xlsx,HR,.xlsx,277.0,2026-07-31 14:26:33.597077,2026-07-31 14:26:33.598075,Windows Server
employee_salary.xlsx,HR,.xlsx,102.0,2026-07-31 14:26:33.591479,2026-07-31 14:26:33.593051,Windows Server
leave_requests.xlsx,HR,.xlsx,321.0,2026-07-31 14:26:33.599077,2026-07-31 14:26:33.600079,Windows Server
offer_letters.docx,HR,.docx,60.0,2026-07-31 14:26:33.595075,2026-07-31 14:26:33.597077,Windows Server
campaign_plan.pptx,Marketing,.pptx,220.0,2026-07-31 14:26:33.610101,2026-07-31 14:26:33.611078,Windows Server
customer_feedback.csv,Marketing,.csv,102.0,2026-07-31 14:26:33.612080,2026-07-31 14:26:33.612080,Windows Server
marketing_budget.xlsx,Marketing,.xlsx,247.0,2026-07-31 14:26:33.615083,2026-07-31 14:26:33.616084,Windows Server
social_media_report.xlsx,Marketing,.xlsx,225.0,2026-07-31 14:26:33.613081,2026-07-31 14:26:33.615083,Windows Server
