Source,Object_Name,Category,Department,Extension_Type,Size_KB,Created_Date,Modified_Date,Owner,Location,Priority,Storage_Tier,Stars,Forks,Open_Issues,Visibility,Default_Branch
Database,Amit Kumar,Database Record,N/A,N/A,0.0,,,Amit Kumar,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,HR,N/A,0.0,,,N/A,Mumbai,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,Finance,N/A,0.0,,,N/A,Pune,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,Engineering,N/A,0.0,,,N/A,Bangalore,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,Marketing,N/A,0.0,,,N/A,Delhi,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,IT,N/A,0.0,,,N/A,Hyderabad,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,N/A,0.0,,,N/A,N/A,High,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,N/A,0.0,,,N/A,N/A,Medium,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,N/A,0.0,,,N/A,N/A,Low,N/A,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,pdf,0.0,,,N/A,N/A,N/A,HOT,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,docx,0.0,,,N/A,N/A,N/A,HOT,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,xlsx,0.0,,,N/A,N/A,N/A,HOT,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,zip,0.0,,,N/A,N/A,N/A,COLD,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,log,0.0,,,N/A,N/A,N/A,ARCHIVE,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,csv,0.0,,,N/A,N/A,N/A,COLD,0.0,0.0,0.0,N/A,N/A
Database,N/A,Database Record,N/A,tar,0.0,,,N/A,N/A,N/A,ARCHIVE,0.0,0.0,0.0,N/A,N/A
Database,Priya Singh,Database Record,N/A,N/A,0.0,,,Priya Singh,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,Rahul Sharma,Database Record,N/A,N/A,0.0,,,Rahul Sharma,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,Rohan Verma,Database Record,N/A,N/A,0.0,,,Rohan Verma,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Database,Sneha Patel,Database Record,N/A,N/A,0.0,,,Sneha Patel,N/A,N/A,N/A,0.0,0.0,0.0,N/A,N/A
Linux Server,access.log,Linux File,logs,.log,244.0,2026-07-31 15:02:05.162740,2026-07-31 15:02:05.220013,Linux System,logs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,analytics_engine.tar.gz,Linux File,projects,.gz,579.0,2026-07-31 15:02:05.419189,2026-07-31 15:02:05.420202,Linux System,projects,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,app.conf,Linux File,configs,.conf,632.0,2026-07-31 15:02:05.387184,2026-07-31 15:02:05.388198,Linux System,configs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,auth.log,Linux File,logs,.log,65.0,2026-07-31 15:02:05.294513,2026-07-31 15:02:05.295532,Linux System,logs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,backup_2026_01.tar,Linux File,backup,.tar,193.0,2026-07-31 15:02:05.383189,2026-07-31 15:02:05.384196,Linux System,backup,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,backup_2026_02.tar,Linux File,backup,.tar,444.0,2026-07-31 15:02:05.385192,2026-07-31 15:02:05.385192,Linux System,backup,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,database.conf,Linux File,configs,.conf,314.0,2026-07-31 15:02:05.390191,2026-07-31 15:02:05.392191,Linux System,configs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,error.log,Linux File,logs,.log,595.0,2026-07-31 15:02:05.260121,2026-07-31 15:02:05.260643,Linux System,logs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,nginx.conf,Linux File,configs,.conf,149.0,2026-07-31 15:02:05.389186,2026-07-31 15:02:05.389186,Linux System,configs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,project_alpha.zip,Linux File,projects,.zip,371.0,2026-07-31 15:02:05.393196,2026-07-31 15:02:05.395199,Linux System,projects,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,project_beta.zip,Linux File,projects,.zip,206.0,2026-07-31 15:02:05.396194,2026-07-31 15:02:05.397205,Linux System,projects,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
Linux Server,system.log,Linux File,logs,.log,286.0,2026-07-31 15:02:05.104033,2026-07-31 15:02:05.105062,Linux System,logs,Medium,Unknown,0.0,0.0,0.0,N/A,N/A
N/A,.NET-Modernization-In-a-Day,GitHub Repository,microsoft,JavaScript,85875.0,2020-04-14 07:12:21.000000,2026-07-10 23:40:59.000000,microsoft,https://github.com/microsoft/.NET-Modernization-In-a-Day,Medium,Unknown,50.0,47.0,17.0,public,master
N/A,.allstar,GitHub Repository,google,N/A,12.0,2022-02-17 20:40:32.000000,2026-07-21 09:23:32.000000,google,https://github.com/google/.allstar,Medium,Unknown,8.0,1.0,0.0,public,main
N/A,.github,GitHub Repository,microsoft,N/A,456.0,2019-07-02 16:27:27.000000,2026-07-31 21:02:48.000000,microsoft,https://github.com/microsoft/.github,Medium,Unknown,163.0,256.0,3.0,public,main
N/A,.github,GitHub Repository,apache,N/A,13.0,2021-05-18 15:13:12.000000,2026-07-22 02:57:30.000000,apache,https://github.com/apache/.github,Medium,Unknown,44.0,135.0,1.0,public,main
N/A,.github,GitHub Repository,docker,N/A,13.0,2025-05-19 19:31:28.000000,2026-08-03 15:24:26.000000,docker,https://github.com/docker/.github,Medium,Unknown,10.0,1.0,1.0,public,main
N/A,.github,GitHub Repository,kubernetes,N/A,9.0,2020-08-07 11:50:55.000000,2026-07-21 10:26:36.000000,kubernetes,https://github.com/kubernetes/.github,Medium,Unknown,3.0,10.0,0.0,public,master
N/A,.github,GitHub Repository,google,N/A,7.0,2019-02-15 18:14:38.000000,2026-08-02 22:15:46.000000,google,https://github.com/google/.github,Medium,Unknown,136.0,407.0,34.0,public,master
N/A,.github,GitHub Repository,netflix,N/A,8.0,2021-03-01 20:01:29.000000,2025-06-16 05:11:33.000000,netflix,https://github.com/Netflix/.github,Medium,Unknown,5.0,3.0,0.0,public,main
