Feature,Importance
Read_Count,0.35630342164693124
Access_Count_30D,0.33963659547009306
Write_Count,0.2844711465401812
Last_Access_Date,0.007209333603345894
Activity_Score,0.004228636148815055
Stars,0.0023593309374588187
Forks,0.0014750274102781626
Open_Issues,0.0009700772884659919
Storage_Cost,0.0009676089719672577
Last_Modified_Days,0.0006569927222266423
Size_KB,0.0004983376461327318
File_Age_Days,0.00044254867314333834
Unique_Users,0.0002928751195558932
Extension_Type,0.0001929922808409532
Size_Category,0.00011186794041188514
Department,0.00010666734960427064
Default_Branch,6.070739156203686e-05
Category,8.50622318909933e-06
Backup_Flag,6.051653148175087e-06
Priority,1.2749826483071695e-06
Visibility,0.0
Retention_Years,0.0
